,med_advi,spo_tuto,fin_crit,spo_summ
med_advi,88.0,83.0,68.5,88.25
spo_tuto,69.25,88.75,49.75,87.75
fin_crit,80.0,91.5,83.25,91.0
spo_summ,54.25,83.0,33.0,87.25
