,med_advi,spo_tuto,fin_crit,spo_summ
med_advi,86.75,67.5,48.25,67.5
spo_tuto,64.75,78.5,35.0,82.75
fin_crit,71.75,67.5,69.25,82.25
spo_summ,43.75,41.5,9.0,81.25
