,med_advi,spo_tuto,fin_crit,spo_summ
med_advi, 86.8 (88.0), 67.5 (83.0), 48.2 (68.5), 67.5 (88.2)
spo_tuto, 64.8 (69.2), 78.5 (88.8), 35.0 (49.8), 82.8 (87.8)
fin_crit, 71.8 (80.0), 67.5 (91.5), 69.2 (83.2), 82.2 (91.0)
spo_summ, 43.8 (54.2), 41.5 (83.0),  9.0 (33.0), 81.2 (87.2)
